"Name","Postcode","LATITUDE","LONGITUDE"
"FAIRPRICE HUB","629117","1.3271618610269","103.678279283036"
"NANYANG TECHNOLOGICAL UNIVERSITY","637331","1.34713048855579","103.680033789538"
"NANYANG COMMUNITY CENTRE","649040","1.34242828944107","103.692435163135"
"GEK POH VILLE","649149","1.34868982129207","103.698726262283"
"JURONG POINT","648886","1.33945271661445","103.70668501289"
"JURONG WEST","640501","1.35038413736599","103.719025555996"
"YUNG HO","618591","1.32624827027726","103.723819499685"
"JURONG EAST 2","609517","1.34649072704441","103.729053872207"
"JCUBE","609731","1.33332312550425","103.740187071348"
"LE QUEST","657991","1.35594171176111","103.741127005764"
"JEM","608549","1.33329334473462","103.743278742341"
"KEAT HONG MALL","680253","1.37743962648904","103.744383226772"
"LOT 1 SHOPPERS' MALL","689812","1.38497459672379","103.745011766388"
"YEW TEE POINT","689578","1.39708432396576","103.746598000147"
"WEST MALL","658713","1.34992152880216","103.749171990184"
"HOMETEAMNS @ BUKIT BATOK","659003","1.36577391240463","103.748520902563"
"JALAN MAS PUTEH","128635","1.30844135523806","103.762278702257"
"HILLION MALL","678278","1.37843100800213","103.762842789877"
"BUKIT PANJANG PLAZA","677743","1.37992045176243","103.764357180314"
"CLEMENTI MALL","129588","1.3154959389283","103.764583794683"
"GREENRIDGE","671524","1.38529556252963","103.766170532051"
"SINGAPORE POLYTECHNIC","139651","1.30702264102575","103.779245253551"
"WOODGROVE","739065","1.42938474074212","103.781292115087"
"CAUSEWAY POINT","738099","1.43590007901468","103.785795816344"
"SINGAPORE ZOO (ENTRANCE)","729826","1.40290356862274","103.789577205267"
"WOODLANDS NORTH PLAZA","730883","1.44283592110679","103.790770766025"
"SINGAPORE ZOO (KIDZWORLD)","729826","1.40290356862274","103.789577205267"
"WOODLANDS 888","730888","1.43712301500434","103.795314383823"
"ARC","119963","1.27414893629254","103.801399416665"
"ANCHORPOINT","159953","1.28861469030586","103.805009964592"
"JALAN BUKIT MERAH","150007","1.28730052130543","103.807988268738"
"CORONATION SHOPPING PLAZA","269707","1.32383512178759","103.809999570047"
"BUKIT MERAH","150162","1.28383730148701","103.81746608298"
"SUN PLAZA","757713","1.44820036592783","103.819530140823"
"HARBOURFRONT CENTRE","099253","1.26401293230767","103.82005101011"
"VIVOCITY","098585","1.26434458658544","103.822476140505"
"YISHUN","761701","1.4299550174085","103.82792040181"
"TIONG BAHRU PLAZA","168732","1.28633177192832","103.827550771424"
"CANBERRA","750133","1.44349544527985","103.830345369213"
"THOMSON PLAZA","574408","1.35479436177561","103.830924910072"
"FAR EAST PLAZA","228213","1.30730468891062","103.833818438639"
"TAKASHIMAYA","238873","1.30242417189411","103.834676124723"
"NORTHPOINT CITY","768019","1.42875460572994","103.836324536111"
"CATHAY CINELEISURE ORCHARD","239695","1.30149743415611","103.836444791568"
"WISTERIA MALL","768698","1.41798969122298","103.841317292608"
"NOVENA SQUARE","307683","1.32021100706836","103.843656761867"
"TOA PAYOH LORONG 1","319758","1.34026811845608","103.845079860564"
"CHINATOWN POINT","059413","1.28526967945116","103.845037770312"
"PLAZA SINGAPURA","238839","1.30082071769235","103.845067272938"
"ANG MO KIO","560715","1.37099726389553","103.845927987212"
"JUNCTION 8","579837","1.3504812534505","103.848760473211"
"TOA PAYOH","310190","1.33297850289872","103.848761042692"
"FUNAN","179105","1.29134759697794","103.849989790085"
"BUGIS JUNCTION","188021","1.29911287475873","103.855411173758"
"CITY SQUARE MALL","208539","1.31139349427341","103.856487111691"
"TOWNER ROAD","322102","1.32058609456907","103.862002015145"
"POTONG PASIR COMMUNITY CENTRE","358361","1.33258296864442","103.867139786368"
"NEX","556083","1.35067551435975","103.871861623874"
"SERANGOON CENTRAL","550261","1.35405255194874","103.872524450991"
"HOUGANG 1","538692","1.37561464129476","103.879483534695"
"KALLANG STADIUM BOULEVARD","397800","1.30505117555894","103.881356064311"
"PAYA LEBAR QUARTER","409057","1.31756115921","103.892836694432"
"HOUGANG MALL","538766","1.37248308734511","103.893788141349"
"BUANGKOK","543277","1.38233698966981","103.893607838756"
"COMPASS ONE","545078","1.39205314156706","103.89507054384"
"ONE KM","437157","1.31461849889242","103.894738004768"
"SENGKANG","540118","1.38550420775531","103.901988424927"
"WATERWAY POINT","828761","1.40638890775119","103.902150850842"
"RIVERVALE MALL","545082","1.39250410994833","103.904483668323"
"PARKWAY PARADE","449269","1.30253739481563","103.907793301304"
"PUNGGOL PLAZA","820169","1.39369894330648","103.914400396603"
"BEDOK RESEVOIR","470632","1.33205094618817","103.914145075793"
"SIGLAP","459104","1.3129347184438","103.924269680842"
"BEDOK TOWN SQUARE","464208","1.32547212173522","103.930137827538"
"TAMPINES STREET 81","521823","1.3489292582561","103.93349188136"
"TAMPINES HUB","528523","1.35270292681435","103.940200303358"
"TAMPINES NEW TOWN","521139","1.34607675043696","103.944284625086"
"TAMPINES MALL","529510","1.35250468330971","103.944682574769"
"WHITE SANDS","518457","1.37228761596577","103.949733905672"
"EASTPOINT MALL","528833","1.34269199750599","103.953050756306"
"DOWNTOWN EAST","519599","1.3766980678365","103.95514122442"
"TAMPINES MART","529284","1.35436981591879","103.959906449844"
"JEWEL CHANGI AIRPORT","819666","1.36015720495893","103.990090538078"
